Name	Set	ImageFile	Type	Rarity	Number	Monster	Health	VP	Weak	Strong	Card_Text1	Card_Text2	Card_Text3	Card_Text4
Body	Premiere	001	Power	Common	1									
Mind	Premiere	002	Power	Common	2									
Soul	Premiere	003	Power	Common	3									
Morga/Kigaan	Premiere	004	Monster	Common	4	Negaverse	40	1	Soul	Body	{B}+ {D} Thieves - Attacking opponent must discard 1 Item or Person of your choice for every {B} Morga/Kigaan discards.	{A} Double Claws: 20		
Kyurene/Garoben	Premiere	005	Monster	Common	5	Negaverse	40	1	Soul	Mind	{JKP} {D} Fly Away - Win avoids attack.	{A} Razor Paper: 20		
Titus	Premiere	006	Monster	Common	6	Negaverse	50	1	Body	Soul	{S} {D} Item Creation - Discard {S}. Search deck for 1 Item and bring into play immediately. Shuffle deck.	{A} Water Geyser: 20		
Black Widow	Premiere	007	Monster	Common	7	Negaverse	30	1	Mind	Body	{JKP}{JKP} {D} Sticky Thread Trap - One win. Entangles attacker and prevents him or her from attacking this turn and the next turn. Two wins also entangles all of the attacking opponent's other Scouts/Knights and prevents them from attacking next turn.			
Leo the Lion	Premiere	008	Monster	Common	8	Negaverse	10	1	Mind	Body	{D} Super Strength - Ignore 30 damage from each attack.	{A} Bite and Claw: 40		
Yasha/Plant Sisters	Premiere	009	Monster	Common	9	Negaverse	40	1	Body	Mind	{M} {D} Spy - Discard {M}. Look at arttacking opponent's hand.	{A} Imbed Thorn: 10 - Thorn will continue to deliver 10 damage to attacking Scout/Knight at the beginning of each of the attacking opponent's turns until Yasha/Plant Sisters are defeated or replaced.		
Game Machine Man	Premiere	010	Monster	Common	10	Negaverse	60	2	Mind	Body	{D} Armor - Ignore 20 damage from each attack.	{A} Hammer: 30		
Bobo the Vulture	Premiere	011	Monster	Common	11	Negaverse	40	1	Mind	Soul	{A} Punch: 10	{S}{JKP} {A} Left Hook: 30 - Discard {S}. Win increases Bobo's damage to 60 points total.		
Bumboo	Premiere	012	Monster	Common	12	Negaverse	50	2	Soul	Body	{D} Armor - Ignore 10 damage from each attack.	{A} Bite: 50		
Veena/Misha & Janelle	Premiere	013	Monster	Common	13	Negaverse	40	1	Body	Soul	{A} Skate Kick: 10	{S}{S}{JKP} {A} Create Falling Rocks: 40 - Discard {S}{S}. Win increases attack damage to 70 points total.		
Techniclon	Premiere	014	Monster	Common	14	Negaverse	20	1	Soul	Body	{JKP} {D} Catch the Attack - Win avoids attack.	{B}{B} {A} Return Attack: ? - Discard {B}{B}. Techniclon delivers the damage of the attack that the Scout/Knight used against her.		
Bakene	Premiere	015	Monster	Common	15	Negaverse	40	1	Soul	Body	{A} Claws: 50			
Mitsuaami	Premiere	016	Monster	Common	16	Negaverse	40	1	Body	Soul	{JKP} {D} Wind Blast - Win prevents Scout/Knight from attacking.	{A} Electric Razor Arm: 30		
Polite Society	Premiere	017	Monster	Common	17	Negaverse	40	2	Mind	Body	{B}{B}{JKP} {D} Encase in Wax - Discard {B}{B}. Win encases the attacking Scout/Knight in wax, preventing him or her from attacking this turn and next turn.	{A} Wax Blast Attack: 40		
Fro/Blizzard	Premiere	018	Monster	Common	18	Negaverse	70	2	Body	Mind	{JKP} {D} Encase in Ice - Win prevents Scout/Knight from attacking.	{JKP} {A} Explosive Breath: 30 - Win allows these Yoma to also attack each of the attacking opponent's Scouts/Knights for 30 damage each.		
Papion	Premiere	019	Monster	Common	19	Negaverse	60	2	Body	Soul	{JKP} {D} Fly Away - Win avoids attack.	{A} Butterfly Swarm: 30		
Mud Minion Horde	Premiere	020	Monster	Common	20	Negaverse	80	2	Body	Mind	{JKP} {D} Unpredictable - *Win* - Horde avoids attack.  *Tie* - Prevents attack. Discard Horde.  *Loss* - Double damage of Scout/Knight attack.	{A} Fist Pound: 50		
Faraion	Premiere	021	Monster	Common	21	Doom Tree	50	1	Mind	Soul	{S} {D} Power Drain - Discard {S}. Attacker must discard 1 Power card of your choice.	{A} Breath Weapon: 20		
Nacrid	Premiere	022	Monster	Common	22	Doom Tree	40	1	Soul	Mind	{M} {D} Power Drain - Discard {M}. Attacker must discard 1 Power card of your choice.	{JKP} {A} Tentacle Whip: 30 - Win increases Nacrid's damage to 50 points total.		
Racy	Premiere	023	Monster	Common	23	Doom Tree	90	2	Mind	Soul	{S} {D} Trap Person - Discard {S}. Attacking opponent must discard 1 Person of his or her choice.	{A} Claws: 40		
Vulturos	Premiere	024	Monster	Common	24	Doom Tree	70	2	Soul	Body	{B}{X} {D} Resistant - Discard {B}{X}. Ignore 30 damage from the attack.	{A} Claws: 60		
Amphibia	Premiere	025	Monster	Common	25	Doom Tree	50	2	Body	Soul	{S} {D} Induce Sleep - Discard {S}. Attacking opponent must discard 2 Persons of his or her choice.	{A} Water Blast: 30		
Mophead	Premiere	026	Monster	Common	26	Doom Tree	50	2	Mind	Soul	{X}{X} {D} Resistant - Discard {X}{X}. Ignore 30 damage from the attack.	{JKP} {A} Shampoo and Sushi Wrap: 30 - Win increases Mophead's damage to 60 points total.		
Pierrot	Premiere	027	Monster	Common	27	Doom Tree	70	2	Mind	Soul	{S} {D} Destructive - Discard {S}. Attacking opponent must discard 1 Item of his or her choice.	{A} Juggling Balls: 30		
Four Face	Premiere	028	Monster	Common	28	Doom Tree	50	1	Body	Soul	{S} {D} Power Drain - Discard {S}. Attacking opponent must discard 3 Power cards of your choice.			
Frosty/Hypnotica	Premiere	029	Monster	Common	29	Dark Moon	70		Soul	Mind	{M}{M}{JKP} {D} Deep Sleep - Discard {M}{M}. Win places Scout/Knight to sleep for this turn and the next turn. Scout/Knight cannot attack or rejuvenate during this time.	{A} Ice Breath: 30		
Thunderclap	Premiere	030	Monster	Common	30	Dark Moon	50	2	Soul	Body	{B} {A} Lightning: 30 - Discard {B}. Thunderclap's damage is increased to 60 points total.			
Avocado	Premiere	031	Monster	Common	31	Dark Moon	30	1	Body	Mind	{JKP} {D} Rotten Stench - Win prevents Scout/Knight from attacking.	{X}{X} {D} Item Swap - Discard {X}{X} and any 1 Item in play. Search deck for 1 Item and bring into play immediately. Shuffle deck.	{A} Rotten Fruit Bombs: 20	
